key	en	ar	ku
home	Home	الرئيسية	سەرەکی
new_offer	New Offer	عرض جديد	پێشنیاری نوێ
saved	Saved	المحفوظة	پاشەکەوتکراو
catalog	Catalog	الكتالوج	کاتەلۆگ
settings	Settings	الإعدادات	ڕێکخستنەکان
quick_actions	Quick actions	إجراءات سريعة	کردارە خێراکان
create_offer	Create offer	إنشاء عرض	دروستکردنی پێشنیار
start_quote	Start a new quotation	ابدأ عرض سعر جديد	پێشنیاری نرخێکی نوێ دەستپێبکە
saved_offers	Saved offers	العروض المحفوظة	پێشنیارە پاشەکەوتکراوەکان
product_catalog	Product catalog	كتالوج المنتجات	کاتەلۆگی بەرهەمەکان
catalog_items	catalog items	منتج في الكتالوج	ماددەی کاتەلۆگ
quick_preview	Quick preview	معاينة سريعة	پێشبینینی خێرا
preview_current	Preview current draft	معاينة المسودة الحالية	پێشبینینی ڕەشنووسی ئێستا
workflow	Workflow	سير العمل	ڕەوتی کار
workflow_desc	Client → System → Items → Details → Preview → PDF	العميل ← المنظومة ← المواد ← التفاصيل ← المعاينة ← PDF	کڕیار ← سیستەم ← ماددەکان ← وردەکاری ← پێشبینین ← PDF
workflow_note	A guided workflow keeps every quotation consistent and easy to review.	خطوات منظمة تجعل كل عرض سعر ثابتاً وسهل المراجعة.	ڕەوتێکی ڕێکخراو هەموو پێشنیارێک یەکسان و ئاسان بۆ پێداچوونەوە دەکات.
brand_title	Offer Studio	استوديو العروض	ستودیۆی پێشنیار
brand_sub	Professional solar quotations, built for field organizers.	عروض شمسية احترافية مصممة لمنظمي الكشف.	پێشنیاری خۆرەوی پیشەیی بۆ ڕێکخەرانی پشکنین.
create_new_offer	Create new offer	إنشاء عرض جديد	پێشنیاری نوێ دروست بکە
start_first	Start an offer first	ابدأ عرضاً أولاً	سەرەتا پێشنیارێک دەستپێبکە
step_of	Step %d of 4	الخطوة %d من 4	هەنگاوی %d لە 4
client	Client	العميل	کڕیار
system	System	المنظومة	سیستەم
items	Items	المواد	ماددەکان
finish	Finish	النهاية	کۆتایی
client_details	Client details	معلومات العميل	زانیاری کڕیار
client_question	Who is this offer for?	لمن يتم إعداد هذا العرض؟	ئەم پێشنیارە بۆ کێیە؟
client_name	Client name	اسم العميل	ناوی کڕیار
client_hint	e.g. Ahmed Karim	مثال: أحمد كريم	نموونە: ئەحمەد کەریم
phone	Phone	رقم الهاتف	ژمارەی تەلەفۆن
phone_hint	07xx xxx xxxx	07xx xxx xxxx	07xx xxx xxxx
location	Location	الموقع	شوێن
location_hint	City / district / project location	المدينة / المنطقة / موقع المشروع	شار / ناوچە / شوێنی پڕۆژە
date	Date	التاريخ	بەروار
system_setup	System setup	معلومات المنظومة	ڕێکخستنی سیستەم
system_desc	Define the solar system configuration.	حدد نوع وسعة المنظومة الشمسية.	جۆر و توانای سیستەمی خۆرەوی دیاری بکە.
system_type	System type	نوع المنظومة	جۆری سیستەم
hybrid	Hybrid	هجين	هایبرید
on_grid	On-Grid	أون كريد	ئۆن‌گرید
off_grid	Off-Grid	أوف كريد	ئۆف‌گرید
required_capacity	Required capacity	السعة المطلوبة	توانای پێویست
capacity_hint	e.g. 8 kW	مثال: 8 kW	نموونە: 8 kW
phase	Phase	الطور	فاز
single_phase	Single phase	أحادي	یەک فاز
three_phase	Three phase	ثلاثي	سێ فاز
tip	Tip	ملاحظة	تێبینی
capacity_tip	Use the customer target capacity here; choose exact equipment sizes in the Items step.	استخدم السعة المطلوبة من العميل هنا، واختر قياسات الأجهزة الفعلية في خطوة المواد.	لێرە توانای داواکراوی کڕیار بنووسە؛ قەبارەی ڕاستەقینەی ئامێرەکان لە هەنگاوی ماددەکان هەڵبژێرە.
offer_items	Offer items	مواد العرض	ماددەکانی پێشنیار
items_desc	Search the full Solar App V4 catalog or add a custom item.	ابحث في كتالوج Solar App V4 الكامل أو أضف مادة مخصصة.	لە کاتەلۆگی تەواوی Solar App V4 بگەڕێ یان ماددەی تایبەت زیاد بکە.
browse_catalog	Browse catalog	اختيار من الكتالوج	کاتەلۆگ ببینە
