Solar Inverter	إنفرتر شمسي	ئینڤێرتەری خۆرەوی
Solar Panels	ألواح شمسية	پانێڵی خۆرەوی
Inverters	إنفرترات	ئینڤێرتەرەکان
Lithium Battery	بطارية ليثيوم	باتری لیتھیۆم
Batteries	بطاريات	باترییەکان
Battery Control	تحكم البطاريات	کۆنترۆڵی باتری
Accessories / Structures	ملحقات / هياكل	پێداویستی / هەیکەل
Battery Rack	راك بطاريات	ڕاکی باتری
Installation / Delivery	تركيب / نقل	دامەزراندن / گواستنەوە
Solar Array Structure	هياكل الألواح الشمسية	هەیکەلی پانێڵی خۆرەوی
Accessories	ملحقات	پێداویستییەکان
Lightning System	نظام الحماية من الصواعق	سیستەمی پاراستن لە برووسکە
Earthing System	نظام التأريض	سیستەمی ئەرث
Delivery	نقل	گواستنەوە
Installation	تركيب	دامەزراندن
Other	أخرى	هیتر
